season,n_matches,status,n_teams,date_min,date_max,pin_close_pct,pin_open_pct,missing_score,dup_fixtures,has_close_cols,has_open_cols
1617,306,OK,18,2016-08-26,2017-05-20,1.0,1.0,0,0,True,True
1718,306,OK,18,2017-08-18,2018-05-12,1.0,1.0,0,0,True,True
1819,306,OK,18,2018-08-24,2019-05-18,0.9967,0.9967,0,0,True,True
1920,306,OK,18,2019-08-16,2020-06-27,1.0,1.0,0,0,True,True
2021,306,OK,18,2020-09-18,2021-05-22,1.0,1.0,0,0,True,True
2122,306,OK,18,2021-08-13,2022-05-14,1.0,1.0,0,0,True,True
2223,306,OK,18,2022-08-05,2023-05-27,1.0,1.0,0,0,True,True
2324,306,OK,18,2023-08-18,2024-05-18,1.0,1.0,0,0,True,True
2425,306,OK,18,2024-08-23,2025-05-17,1.0,1.0,0,0,True,True
2526,306,OK,18,2025-08-22,2026-05-16,0.4869,0.4902,0,0,True,True
