model,method,n,brier,brier_ci_lo,brier_ci_hi,logloss,logloss_ci_lo,logloss_ci_hi,ece,model_full
dc,uncalibrated,1224,0.608612618225521,0.5907393523775732,0.6282797163134639,1.016499637560919,0.9911244433579601,1.0450399132292119,0.026002829070941907,M1_DC
dc,platt,1224,0.6099838029564703,0.5951262634855866,0.6249017084471856,1.0188828831235,0.9980651155685173,1.040299516101941,0.014211111822553453,M1_DC
dc,isotonic,1224,0.611936771531866,0.5941169039956661,0.6309151386403268,1.0821631090648633,1.0195268410025915,1.1798627666151247,0.01671051314954938,M1_DC
elo,uncalibrated,1224,0.6188876579423984,0.5930605139746732,0.6479574663934278,1.0566122966268707,1.0165502837787384,1.1011748190738442,0.07852254734372105,M2_Elo
elo,platt,1224,0.5976751754124253,0.5817232978200382,0.614817435226025,1.0001602182065918,0.9786507916244019,1.0240493389046421,0.027360762427138988,M2_Elo
elo,isotonic,1224,0.5957074971266321,0.5766155065764841,0.6170130290978996,1.0370936823044128,0.9820966058248869,1.1119078016421946,0.02396997427546643,M2_Elo
m3,uncalibrated,1224,0.6203596822525315,0.6028445605059771,0.6372995388016158,1.0378520606958463,1.0128136670442622,1.0626124142620836,0.04041611267217368,M3_LGBM_midweek
m3,platt,1224,0.617934502631367,0.6036161877188295,0.630848693877956,1.0296968511924902,1.0099815038030178,1.0482756827896282,0.026736315848176234,M3_LGBM_midweek
m3,isotonic,1224,0.6217341053485865,0.6054964094735233,0.6374737242105623,1.0582278905536946,1.0179614663968628,1.1113429183373291,0.017201162183522474,M3_LGBM_midweek
m4,uncalibrated,1224,0.620931720988643,0.6040318715304361,0.6378200590439996,1.038669316620496,1.0138881464614562,1.0632775748043757,0.0358016940389766,M4_LGBM
m4,platt,1224,0.6186635568858219,0.6054211761702983,0.6315407341433132,1.0310509013214264,1.012537131533062,1.0491831909524492,0.023558385729162662,M4_LGBM
m4,isotonic,1224,0.6214922320227164,0.6057857251232209,0.6372642219056007,1.077241941761825,1.023422905684458,1.1496223702277848,0.01930041486452884,M4_LGBM
