source,method,slice,n,coverage,brier
Bookmaker_avg,basic,2425,306,1.0,0.5894551188478829
Bookmaker_max,basic,2425,306,1.0,0.589579135254678
Bet365,basic,2425,306,1.0,0.5896095996821606
Bookmaker_max,logodds,2425,306,1.0,0.5897693580395356
Bookmaker_max,power,2425,306,1.0,0.5898765365157395
Bookmaker_avg,logodds,2425,306,1.0,0.5899276768478352
Pinnacle,basic,2425,306,1.0,0.5901287759990306
Bet365,logodds,2425,306,1.0,0.5901833743752306
Bookmaker_avg,power,2425,306,1.0,0.5903096496260296
Pinnacle,logodds,2425,306,1.0,0.5904627487459642
Bet365,power,2425,306,1.0,0.590660124366822
Pinnacle,power,2425,306,1.0,0.5907222668922443
Bookmaker_max,shin,2425,306,1.0,0.6265135772890936
Bookmaker_avg,shin,2425,306,1.0,0.6403976230383795
Bet365,shin,2425,306,1.0,0.6407497301324896
Pinnacle,shin,2425,306,1.0,0.6432625504289683
Bookmaker_avg,basic,dev,1530,0.625,0.5798747237369136
Bookmaker_max,basic,dev,1530,0.625,0.5799809603385917
Bet365,basic,dev,1530,0.625,0.5799875977955449
Bookmaker_max,logodds,dev,1530,0.625,0.5800132354312122
Bookmaker_avg,logodds,dev,1530,0.625,0.5800220895142335
Bookmaker_max,power,dev,1530,0.625,0.5800478083567369
Bookmaker_avg,power,dev,1530,0.625,0.5801964318202867
Bet365,logodds,dev,1530,0.625,0.5802073951699261
Bet365,power,dev,1530,0.625,0.5804838039091083
Pinnacle,basic,dev,2447,0.9995915032679739,0.583171520381227
Pinnacle,logodds,dev,2447,0.9995915032679739,0.5833180813333222
Pinnacle,power,dev,2447,0.9995915032679739,0.5834309256544495
Bookmaker_max,shin,dev,1530,0.625,0.592040469837305
Bookmaker_avg,shin,dev,1530,0.625,0.6206343366285071
Bet365,shin,dev,1530,0.625,0.6230491961908938
Pinnacle,shin,dev,2447,0.9995915032679739,0.6246401676066489
