fold,model,method,n,brier,brier_ci_lo,brier_ci_hi,logloss,logloss_ci_lo,logloss_ci_hi,ece
2021,dc,uncalibrated,306,0.6193577271325413,0.5830006277760567,0.6550191976475218,1.03242609677844,0.9813566656968802,1.083296195740057,0.02988844634440189
2021,dc,platt,306,0.6200153472121456,0.5889497675628611,0.6496462680440193,1.0329225927556338,0.9907380692353216,1.0739994072283119,0.0392749635481417
2021,dc,isotonic,306,0.6280928931674818,0.5894521012585789,0.6667533436594791,1.2056448873346215,1.0110102908276248,1.4816448583259765,0.04490710981152757
2122,dc,uncalibrated,306,0.6208270883937632,0.5894400268281624,0.6541430115233475,1.03530362081139,0.989584225790503,1.0852708900209331,0.052689924535286016
2122,dc,platt,306,0.6160441577968307,0.5919051518705958,0.6424214238435054,1.0280910240902923,0.993545017282357,1.0654902141055502,0.04525910281909821
2122,dc,isotonic,306,0.618630547781446,0.5883718876955691,0.6502921259694127,1.0335631391080988,0.9880998312699929,1.081186027195772,0.04375935012111431
2223,dc,uncalibrated,306,0.5912392841972579,0.5560504204709638,0.6254433401559213,0.9897557950792,0.9387405201875821,1.0386484376068403,0.03989760884273378
2223,dc,platt,306,0.5937898337779959,0.5663886611688518,0.6218591904942776,0.9954595636448695,0.9572059562366556,1.0347456563866797,0.034203375670497006
2223,dc,isotonic,306,0.597420904694725,0.5634183665333256,0.6319787781092965,1.0023484458160112,0.9522169289515795,1.0529433995903998,0.041915461774633365
2324,dc,uncalibrated,306,0.6030263731785211,0.5704741209539199,0.6379232041647483,1.0085130375746456,0.9599339749364751,1.0586894643056335,0.030317111348491316
2324,dc,platt,306,0.6100858730389084,0.5828208818054398,0.6397261178961002,1.0190583520032048,0.9818682520177424,1.0603154271963788,0.03176753065437409
2324,dc,isotonic,306,0.6036027404838114,0.5719673732479764,0.6386340889339266,1.0870959640007223,0.9657376363782317,1.2885566604831813,0.02331555409841483
2021,elo,uncalibrated,306,0.6290965363635246,0.5739980259784094,0.6829109161240288,1.0708496542676167,0.9836373336584998,1.1568545368878622,0.095017452972096
2021,elo,platt,306,0.6037294863726086,0.5703608174027346,0.6373071352961699,1.0078272553518295,0.9615117789657618,1.0551058405483857,0.05286102658372279
2021,elo,isotonic,306,0.5990414609108914,0.5577244428408392,0.6407671086507111,1.0018330286337982,0.9432915287938547,1.0628756959629158,0.04044625229171281
2122,elo,uncalibrated,306,0.6166708614610704,0.5698426756215722,0.6634574198581534,1.0444760818616932,0.9682040959331174,1.1154424661846456,0.07317826128307671
2122,elo,platt,306,0.6006685870379859,0.5729849912351543,0.6292799730661778,1.0068272894652452,0.9682687297144629,1.047343724378617,0.03762516934337085
2122,elo,isotonic,306,0.5984115983907188,0.565128738906039,0.6326909786036004,1.0884733459945568,0.9634244002031975,1.2943898979670363,0.042163518733581574
2223,elo,uncalibrated,306,0.6169081286071086,0.5649010205064519,0.6685424011088237,1.0572559595323563,0.9723137149268224,1.1408628980214794,0.07768897897315184
2223,elo,platt,306,0.5954313101945737,0.5631041807001016,0.6252618355655837,0.9956129572248021,0.9515922022172404,1.036528825335389,0.02402611300356779
2223,elo,isotonic,306,0.6046859546310571,0.564218282097044,0.6438265160468549,1.0061135566389092,0.9473424945350661,1.0618074818228678,0.04418571372156494
2324,elo,uncalibrated,306,0.61287510533789,0.5634889944489211,0.6606279856737944,1.053867490845817,0.9744326969852393,1.129966877078399,0.09959009420352506
2324,elo,platt,306,0.5908713180445332,0.5615405886279979,0.6191402651296558,0.9903733707844911,0.9492208935222559,1.0304431877840514,0.059126120653330096
2324,elo,isotonic,306,0.5806909745738609,0.5468595453629053,0.6152203360474697,1.0519547979503872,0.9283147015920438,1.2575558520875871,0.029631096948382136
