model,method,policy,threshold,signal_count,unique_matches,roi,roi_ci_lo,roi_ci_hi,avg_odds,avg_edge,closing_price_edge,odds_clv,model_vs_close,max_drawdown,p_mean_signal,y_mean_realized,calibration_gap,share_home,share_draw,share_away
M1_DC,uncalibrated,all,0.02,1554,1110,0.04972972972972973,-0.044455753923876073,0.14387507933809357,4.701795366795367,0.318838366203149,-0.021509602335347804,-0.004186414975513894,0.3543319621894209,44.73999999999999,0.3391930674059296,0.28442728442728443,0.05476578297864515,0.32432432432432434,0.3815958815958816,0.29407979407979407
M1_DC,uncalibrated,all,0.03,1460,1052,0.03454109589041096,-0.06112454960301332,0.13283707463222563,4.775958904109589,0.3377098002024922,-0.021624296337204255,-0.004885852268894275,0.3739672483634037,40.47999999999999,0.3371612626713391,0.27671232876712326,0.06044893390421585,0.3253424657534247,0.3732876712328767,0.3013698630136986
M1_DC,uncalibrated,all,0.04,1399,1022,0.02740528949249463,-0.0757720455315638,0.12629061474473943,4.817691208005719,0.3509013424120168,-0.021846764679272806,-0.005340832789548177,0.3878477860218437,41.389999999999986,0.3383145499006288,0.27376697641172265,0.06454757348890616,0.33238027162258754,0.363831308077198,0.3037884203002144
M1_DC,uncalibrated,all,0.05,1317,976,0.038663629460895965,-0.06226477379940889,0.14040164733073507,4.879453302961275,0.36995306123174765,-0.021633514625745056,-0.005247746175150118,0.4072951000287929,36.91000000000001,0.33769782729488396,0.27258921791951407,0.06510860937536989,0.3363705391040243,0.3568716780561883,0.3067577828397874
M1_DC,uncalibrated,all,0.06,1249,930,0.04103282626100883,-0.0672259937947494,0.1565177574752109,4.941088871096878,0.3871243427518292,-0.022151481538171678,-0.005861049339782031,0.42552013128941596,43.05999999999994,0.33674434061281583,0.2674139311449159,0.06933040946789992,0.33626901521216973,0.35628502802241796,0.3074459567654123
M1_DC,uncalibrated,all,0.07,1172,876,0.017474402730375423,-0.10126361568723877,0.11881341473828959,5.012244027303755,0.4082772984439116,-0.022822150081298353,-0.0069437755818875105,0.44789190802382334,44.91000000000001,0.33584619692083345,0.25597269624573377,0.07987350067509968,0.33532423208191126,0.3506825938566553,0.31399317406143346
M1_DC,uncalibrated,all,0.08,1101,837,0.022425068119891006,-0.08855582573437812,0.1353552727287196,5.098601271571298,0.4297515934808383,-0.02364042438620392,-0.008333517149585015,0.47108026713730106,40.32,0.33583301990895115,0.254314259763851,0.08151876014510012,0.33969118982742963,0.33969118982742963,0.3206176203451408
M1_DC,uncalibrated,all,0.1,990,756,0.02162626262626263,-0.1049984458299815,0.1611346681232916,5.283656565656566,0.4677748953697347,-0.023513289093541147,-0.008991739658965155,0.5102646736463604,51.31000000000001,0.33212986325048527,0.24242424242424243,0.08970562082624284,0.34040404040404043,0.33434343434343433,0.32525252525252524
M1_DC,uncalibrated,one_per,0.02,1110,1110,0.052117117117117126,-0.06278941441441441,0.1658716216216216,4.459135135135135,0.3639905087564296,-0.02079312112380828,-0.004677451940317937,0.3999301050516,38.50999999999998,0.3724481604595381,0.3117117117117117,0.06073644874782641,0.42252252252252254,0.22252252252252253,0.35495495495495494
M1_DC,uncalibrated,one_per,0.03,1052,1052,0.04499049429657794,-0.07063711977186311,0.16569249049429657,4.540494296577947,0.38263409377168134,-0.021111796079345293,-0.005631602441016823,0.41953193073978406,38.44999999999999,0.36945437678114995,0.30228136882129275,0.0671730079598572,0.42395437262357416,0.21387832699619772,0.36216730038022815
M1_DC,uncalibrated,one_per,0.04,1022,1022,0.04301369863013698,-0.07588600782778865,0.1636631604696673,4.574099804305283,0.3928289633032786,-0.021201751959866254,-0.005817645029898448,0.43011513594644624,46.83999999999999,0.3698952418243899,0.3013698630136986,0.06852537881069126,0.42857142857142855,0.20939334637964774,0.36203522504892366
M1_DC,uncalibrated,one_per,0.05,976,976,0.03753073770491804,-0.08281045081967214,0.16196849385245896,4.645922131147541,0.4092220168013906,-0.02044989082831356,-0.005305119473950651,0.44621915397012213,40.86999999999999,0.3685427404589861,0.29610655737704916,0.07243618308193694,0.4293032786885246,0.20081967213114754,0.3698770491803279
M1_DC,uncalibrated,one_per,0.06,930,930,0.034989247311827974,-0.09026397849462366,0.17564973118279567,4.706849462365591,0.4267524755113122,-0.020294869814055348,-0.00524469543125287,0.46405334976323537,40.229999999999976,0.3669128879894772,0.28817204301075267,0.07874084497872452,0.42795698924731185,0.1978494623655914,0.3741935483870968
M1_DC,uncalibrated,one_per,0.07,876,876,0.0027168949771689548,-0.13586586757990865,0.1255821917808219,4.78593607305936,0.44904544981407474,-0.02048605218521938,-0.005802943294213539,0.48714077311288956,51.32999999999999,0.3657558552842322,0.273972602739726,0.0917832525445062,0.4269406392694064,0.18835616438356165,0.384703196347032
M1_DC,uncalibrated,one_per,0.08,837,837,0.004934289127837518,-0.12376194743130225,0.1430504778972521,4.865698924731183,0.4664448594808935,-0.02120780740477808,-0.007119239049000229,0.5059665792611742,50.669999999999995,0.3643267865804061,0.2712066905615293,0.09312009601887683,0.4265232974910394,0.1827956989247312,0.3906810035842294
M1_DC,uncalibrated,one_per,0.1,756,756,0.019193121693121696,-0.12474636243386243,0.17953273809523806,5.047751322751322,0.5067542629574507,-0.021254260671911288,-0.0082465503218842,0.5476468301398255,42.83999999999999,0.3599095115762543,0.2619047619047619,0.09800474967149236,0.42724867724867727,0.17328042328042328,0.3994708994708995
M1_DC,platt,all,0.02,1528,1122,-0.027650523560209424,-0.12575500696264744,0.07648523365141734,5.510170157068063,0.48006670498635623,-0.018052708443920644,-0.004450449566243309,0.5163428992154676,83.12,0.3057707000865546,0.2231675392670157,0.08260316081953889,0.30824607329842935,0.262434554973822,0.4293193717277487
