model,fold,n_train_inner,n_inner_val,n_val,brier,logloss,best_iter
m3,1819,306,306,306,0.6382762071456406,1.0589712296286342,16
m3,1920,612,306,306,0.6391480272978889,1.0584706344574355,11
m3,2021,918,306,306,0.6003831899502451,1.0037955996783745,26
m3,2122,1224,306,306,0.6063417642635796,1.0194613904085892,28
m3,2223,1530,306,306,0.604315395698188,1.0127674185344409,20
m3,2324,1836,306,306,0.5958178000537324,0.9998554426401512,39
m4,1819,306,306,306,0.6403592086435117,1.0621055281079523,15
m4,1920,612,306,306,0.6412086060322412,1.0627692941084486,13
m4,2021,918,306,306,0.6014782314730107,1.005101011126589,26
m4,2122,1224,306,306,0.6061270437616312,1.0191165345161908,30
m4,2223,1530,306,306,0.6073682491697296,1.0179648992457668,27
m4,2324,1836,306,306,0.5956110103615543,0.9993852576082968,32
