source,method,n,coverage,brier
Bookmaker_avg,basic,1530,0.625,0.5798747237369136
Bookmaker_max,basic,1530,0.625,0.5799809603385917
Bet365,basic,1530,0.625,0.5799875977955449
Bookmaker_max,logodds,1530,0.625,0.5800132354312122
Bookmaker_avg,logodds,1530,0.625,0.5800220895142335
Bookmaker_max,power,1530,0.625,0.5800478083567369
Bookmaker_avg,power,1530,0.625,0.5801964318202867
Bet365,logodds,1530,0.625,0.5802073951699261
Bet365,power,1530,0.625,0.5804838039091083
Pinnacle,basic,2447,0.9995915032679739,0.583171520381227
Pinnacle,logodds,2447,0.9995915032679739,0.5833180813333222
Pinnacle,power,2447,0.9995915032679739,0.5834309256544495
Bookmaker_max,shin,1530,0.625,0.592040469837305
Bookmaker_avg,shin,1530,0.625,0.6206343366285071
Bet365,shin,1530,0.625,0.6230491961908938
Pinnacle,shin,2447,0.9995915032679739,0.6246401676066489
