model_a,model_b,n_matches,delta_brier_point,ci_lo_95,ci_hi_95,ci_covers_zero,a_win_fraction,verdict
M2_Elo,M1_DC,1224,-0.008239342624499324,-0.01634070626671854,-0.00045981219972359593,False,0.981,A wins
M2_Elo,M3_LGBM_dmwd,1224,-0.0040269487147919225,-0.011342592698202824,0.0041055175432753435,True,0.851,indistinguishable
M2_Elo,M4_LGBM,1224,-0.00495854491483716,-0.01185426145598304,0.0029944184663417317,True,0.906,indistinguishable
M3_LGBM_dmwd,M4_LGBM,1224,-0.0009315962000452371,-0.0035491834317237653,0.0016782385895581949,True,0.737,indistinguishable
M5_market_open,M1_DC,1224,-0.02362334313823422,-0.03302903956957155,-0.013108322178134547,False,1.0,A wins
M5_market_open,M2_Elo,1224,-0.015384000513734897,-0.021515432691134314,-0.007930576776590403,False,1.0,A wins
M5_market_open,M3_LGBM_dmwd,1224,-0.01941094922852682,-0.029195547482562857,-0.008974864426468707,False,1.0,A wins
M5_market_open,M4_LGBM,1224,-0.020342545428572056,-0.029928672441721215,-0.009929313644799737,False,1.0,A wins
M6_market_elo_blend,M1_DC,1224,-0.023854785149405755,-0.03306883000259415,-0.013434730614013742,False,1.0,A wins
M6_market_elo_blend,M2_Elo,1224,-0.015615442524906431,-0.02188686864770075,-0.008315915401239639,False,1.0,A wins
M6_market_elo_blend,M3_LGBM_dmwd,1224,-0.019642391239698354,-0.029304994139881597,-0.009326700358572295,False,1.0,A wins
M6_market_elo_blend,M4_LGBM,1224,-0.02057398743974359,-0.029994086412446705,-0.01012949400647787,False,1.0,A wins
M7_market_residual,M1_DC,1224,-0.010782356865962961,-0.021601115703586825,-0.00021071336912967085,False,0.978,A wins
M7_market_residual,M2_Elo,1224,-0.002543014241463637,-0.010893409246308775,0.005842822272902221,True,0.713,indistinguishable
M7_market_residual,M3_LGBM_dmwd,1224,-0.0065699629562555595,-0.014663148396910455,0.0011133544848188207,True,0.949,indistinguishable
M7_market_residual,M4_LGBM,1224,-0.007501559156300797,-0.01568166910021663,4.7995413822174414e-05,True,0.971,indistinguishable
