subset,policy,n,brier,logloss
all,p0,1224,0.6059731634272875,1.012729257555843
all,p1,1224,0.6065436990886539,1.0153060148723811
all,p2,1224,0.6051218463598216,1.0125514710174646
all,p4,1224,0.6001672673107664,1.0050447314890176
all,p3_suppress,1184,0.6052601202649744,1.0118373437842443
promoted_only,p0,264,0.6102355727536374,1.0146750618656344
promoted_only,p1,264,0.6128807835472456,1.026621845787765
promoted_only,p2,264,0.6062885572590234,1.013850778824061
promoted_only,p4,264,0.5833173271224945,0.9790468046467156
promoted_only,p3_suppress,224,0.6072277748468314,1.0103081255567878
seasoned_only,p0,960,0.6048010008625411,1.0121941613706507
seasoned_only,p1,960,0.6048010008625411,1.0121941613706507
seasoned_only,p2,960,0.6048010008625411,1.0121941613706507
seasoned_only,p4,960,0.6048010008625411,1.0121941613706507
seasoned_only,p3_suppress,960,0.6048010008625411,1.0121941613706507
promoted_early_1_5,p0,40,0.6270792410317506,1.0391299051951757
promoted_early_1_5,p1,40,0.6445376322695651,1.117978679081237
promoted_early_1_5,p2,40,0.6349084712124194,1.0817765238846222
promoted_early_1_5,p4,40,0.5850684653873779,0.9830977188161072
promoted_late_6_34,p0,224,0.6072277748468314,1.0103081255567878
promoted_late_6_34,p1,224,0.6072277748468314,1.0103081255567878
promoted_late_6_34,p2,224,0.6011778583387741,1.0017211814918177
promoted_late_6_34,p4,224,0.583004623860908,0.978323427116467
promoted_late_6_34,p3_suppress,224,0.6072277748468314,1.0103081255567878
