subset,policy,n,brier,logloss
all,p0,1224,0.6059731634272875,1.012729257555843
all,p1,1224,0.6061014024568379,1.0139981836668963
all,p2,1224,0.6045396536012956,1.011436847253646
all,p4,1224,0.6018929362830607,1.0077172471498068
all,e0,1224,0.6182264695814675,1.0539407453335325
all,e1,1224,0.6182264695814675,1.0539407453335325
all,p3_suppress,1184,0.6052601202649744,1.0118373437842443
promoted_only,p0,264,0.6102355727536373,1.0146750618656346
promoted_only,p1,264,0.6108301355270078,1.020558264744153
promoted_only,p2,264,0.6035892999240385,1.0086829777372643
promoted_only,p4,264,0.5913181559940409,0.9914375590740113
promoted_only,e0,264,0.6074255141814194,1.0397365571042918
promoted_only,e1,264,0.6074255141814194,1.0397365571042916
promoted_only,p3_suppress,224,0.6072277748468314,1.0103081255567878
seasoned_only,p0,960,0.6048010008625411,1.0121941613706507
seasoned_only,p1,960,0.6048010008625411,1.0121941613706507
seasoned_only,p2,960,0.6048010008625411,1.0121941613706507
seasoned_only,p4,960,0.6048010008625411,1.0121941613706507
seasoned_only,e0,960,0.6211967323164809,1.0578468970965738
seasoned_only,e1,960,0.6211967323164809,1.057846897096574
seasoned_only,p3_suppress,960,0.6048010008625411,1.0121941613706507
promoted_early_1_5,p0,40,0.6270792410317506,1.039129905195176
promoted_early_1_5,p1,40,0.6310033553359949,1.077959044193398
promoted_early_1_5,p2,40,0.6262328231264653,1.059126589829543
promoted_early_1_5,p4,40,0.6057536433526128,1.0099643580926307
promoted_early_1_5,e0,40,0.6310033553359949,1.077959044193398
promoted_early_1_5,e1,40,0.6310033553359948,1.0779590441933977
promoted_late_6plus,p0,224,0.6072277748468314,1.0103081255567878
promoted_late_6plus,p1,224,0.6072277748468314,1.0103081255567878
promoted_late_6plus,p2,224,0.599545813637891,0.9996751898636431
promoted_late_6plus,p4,224,0.588740390394296,0.9881292021064009
promoted_late_6plus,e0,224,0.6032151854038166,1.032911112981237
promoted_late_6plus,e1,224,0.6032151854038166,1.032911112981237
promoted_late_6plus,p3_suppress,224,0.6072277748468314,1.0103081255567878
