outer,alpha,train_brier
2021,0.0,0.61281478974
2021,0.1,0.607476713027
2021,0.2,0.602531494569
2021,0.3,0.597979134365
2021,0.4,0.593819632417
2021,0.5,0.590052988723
2021,0.6,0.586679203284
2021,0.7,0.5836982761
2021,0.8,0.58111020717
2021,0.9,0.578914996495
2021,1.0,0.577112644075
2122,0.0,0.609660601546
2122,0.1,0.605212852449
2122,0.2,0.601138683133
2122,0.3,0.597438093598
2122,0.4,0.594111083845
2122,0.5,0.591157653873
2122,0.6,0.588577803682
2122,0.7,0.586371533272
2122,0.8,0.584538842644
2122,0.9,0.583079731796
2122,1.0,0.58199420073
2223,0.0,0.606014611383
2223,0.1,0.602155061153
2223,0.2,0.598660401628
2223,0.3,0.595530632809
2223,0.4,0.592765754695
2223,0.5,0.590365767287
2223,0.6,0.588330670584
2223,0.7,0.586660464587
2223,0.8,0.585355149296
2223,0.9,0.584414724709
2223,1.0,0.583839190829
2324,0.0,0.602517039193
2324,0.1,0.599391781832
2324,0.2,0.596605176689
2324,0.3,0.594157223763
2324,0.4,0.592047923055
2324,0.5,0.590277274565
2324,0.6,0.588845278292
2324,0.7,0.587751934238
2324,0.8,0.586997242401
2324,0.9,0.586581202781
2324,1.0,0.58650381538
