model,threshold,n_signals,roi,roi_ci_lo_95,roi_ci_hi_95,ci_covers_zero,mean_price_clv,mean_odds_clv
M1_DC,0.02,1328,-0.062364457831325285,-0.15803350903614458,0.03816057981927708,True,-0.04238115382026526,-0.004219394558423331
M1_DC,0.03,1279,-0.07404222048475373,-0.17432388584831898,0.02571618451915557,True,-0.04263329651929031,-0.004467496152370292
M1_DC,0.04,1238,-0.08207592891760904,-0.1855353392568659,0.030714054927302094,True,-0.042247808531076125,-0.004066068377556613
M1_DC,0.05,1203,-0.09612635078969242,-0.20523295926849544,0.012422069825436375,True,-0.04173097642223594,-0.003512852181495783
M1_DC,0.06,1161,-0.10345391903531437,-0.21093367786391043,0.01028509905254091,True,-0.04205288788582338,-0.003873490374445929
M1_DC,0.07,1127,-0.11990239574090505,-0.2316985359361136,-0.009342058562555471,False,-0.042380114242708544,-0.004231722337588422
M1_DC,0.08,1096,-0.12744525547445257,-0.24628216240875914,-0.012656706204379621,False,-0.042389368604175026,-0.0042465278798503
M1_DC,0.1,1025,-0.12123902439024388,-0.23884951219512193,0.002575609756097532,True,-0.04294594899160008,-0.004811031861867649
M2_Elo,0.02,1496,-0.022586898395721918,-0.10845020053475937,0.06492062165775397,True,-0.04158941801451052,-0.0033576278363781483
M2_Elo,0.03,1485,-0.025084175084175084,-0.11362070707070705,0.06608131313131307,True,-0.041444825876515774,-0.0032052094768506905
M2_Elo,0.04,1471,-0.02326988443235893,-0.11319493541808293,0.06661454792658053,True,-0.04133009239612973,-0.0030856865376219598
M2_Elo,0.05,1456,-0.02273351648351649,-0.11361418269230769,0.07374227335164835,True,-0.04104705910318221,-0.0027799421089124998
M2_Elo,0.06,1441,-0.02609299097848716,-0.11019569743233865,0.06863081193615544,True,-0.041241851031391115,-0.0029818258746948643
M2_Elo,0.07,1423,-0.024364019676739283,-0.11640354884047788,0.07377775825720302,True,-0.040911345098849944,-0.0026401591672928645
M2_Elo,0.08,1402,-0.033452211126961486,-0.12447414407988588,0.060446148359486425,True,-0.04096002563168277,-0.002696096901995629
M2_Elo,0.1,1352,-0.03916420118343195,-0.13212555473372783,0.05344711538461538,True,-0.04093115283931067,-0.0026645021545021606
M3_LGBM_dmwd,0.02,1459,-0.07089102124742976,-0.18331802604523642,0.032807745030843015,True,-0.0371678828751414,0.0012101166883546504
M3_LGBM_dmwd,0.03,1433,-0.07475226796929518,-0.17775244242847174,0.028575017445917637,True,-0.03689794992172068,0.001484482051167649
M3_LGBM_dmwd,0.04,1405,-0.07257651245551601,-0.17604448398576514,0.0375553380782918,True,-0.036689239458546956,0.001703498659368555
M3_LGBM_dmwd,0.05,1382,-0.07162083936324169,-0.17747141823444285,0.04126953690303905,True,-0.036868698184693724,0.0015205151906590153
M3_LGBM_dmwd,0.06,1339,-0.07096340552651231,-0.17894604182225543,0.04061650485436889,True,-0.03647892449348202,0.0019157639565827492
M3_LGBM_dmwd,0.07,1300,-0.07296153846153845,-0.18762846153846152,0.04696846153846152,True,-0.036328247533703076,0.002069517477689943
M3_LGBM_dmwd,0.08,1265,-0.07773913043478259,-0.18632371541501977,0.039229841897233185,True,-0.03619965560240657,0.002218701457468176
M3_LGBM_dmwd,0.1,1208,-0.0738907284768212,-0.18687334437086092,0.0523253311258278,True,-0.03609655633866189,0.002349507562144904
M4_LGBM,0.02,1440,-0.06149999999999999,-0.1652986111111111,0.04949548611111109,True,-0.03696406090841332,0.0014323392729948755
M4_LGBM,0.03,1415,-0.06470671378091873,-0.16566625441696112,0.04702173144876325,True,-0.03678942277042276,0.001611404738926659
M4_LGBM,0.04,1389,-0.06712023038156947,-0.17108855291576675,0.04027843772498197,True,-0.037046108147619376,0.0013444304306719141
M4_LGBM,0.05,1365,-0.06147252747252747,-0.16070842490842493,0.05294816849816844,True,-0.03675645827813036,0.0016464262255279723
