model,threshold,n_signals,roi,roi_ci_lo_95,roi_ci_hi_95,ci_covers_zero,mean_price_clv,mean_odds_clv
M1_DC,0.02,1217,-0.09926869350862777,-0.19638783894823336,0.008918241577649956,True,-0.053538432407617825,-0.00819352784880333
M1_DC,0.03,1186,-0.10101180438448566,-0.19665345699831363,-0.007519814502529556,False,-0.053399178890194555,-0.00805153870914429
M1_DC,0.04,1136,-0.1038556338028169,-0.2022370158450704,-0.0010680017605633936,False,-0.05315104601898708,-0.007778377797732804
M1_DC,0.05,1090,-0.12034862385321102,-0.22061880733944955,-0.016079357798165134,False,-0.05297287532882061,-0.007605747244583014
M1_DC,0.06,1062,-0.11974576271186439,-0.22234839924670433,-0.012543079096045219,False,-0.053854712831742244,-0.008506444257095841
M1_DC,0.07,999,-0.11742742742742741,-0.22077902902902904,-0.01089989989989995,False,-0.05383841366038925,-0.008480025108880677
M1_DC,0.08,958,-0.1111795407098121,-0.21505480167014615,0.010423799582463441,True,-0.05525403241817462,-0.009977133942774205
M1_DC,0.1,875,-0.12749714285714284,-0.241144,-0.004936000000000033,False,-0.0559704105561766,-0.010737914723275257
M2_Elo,0.02,1421,-0.15064039408866994,-0.22261945812807882,-0.073673821252639,False,-0.05528158774913627,-0.010067317766314634
M2_Elo,0.03,1417,-0.15150317572335922,-0.22181192660550458,-0.07467360621030347,False,-0.0552303461790997,-0.010010584706704535
M2_Elo,0.04,1407,-0.14793176972281452,-0.2216210021321962,-0.06711993603411516,False,-0.05536520845160118,-0.010140598615823119
M2_Elo,0.05,1398,-0.14415593705293275,-0.21814860515021461,-0.06649552932761091,False,-0.05538216153361096,-0.01015704161524654
M2_Elo,0.06,1381,-0.14455467052860246,-0.21779905865314989,-0.06315152063721946,False,-0.05540249541183266,-0.010177445009335158
M2_Elo,0.07,1359,-0.14660779985283298,-0.22262049300956585,-0.07235412067696838,False,-0.0552665715462854,-0.010024806508497098
