model,threshold,n_signals,roi,roi_ci_lo_95,roi_ci_hi_95,ci_covers_zero,mean_price_clv,mean_odds_clv
M1_DC,0.02,1249,-0.14711769415532425,-0.23749919935948757,-0.052884907926341096,False,-0.04844153709334151,-0.005215853101789454
M1_DC,0.03,1212,-0.15345709570957097,-0.24207920792079207,-0.054341171617161746,False,-0.048363316572096825,-0.005120725021555732
M1_DC,0.04,1158,-0.16860967184801381,-0.2597616580310881,-0.0721591105354059,False,-0.047707253273897916,-0.0044365808319090875
M1_DC,0.05,1109,-0.15897204688908925,-0.2529328223624887,-0.06138976555455369,False,-0.047583285666781064,-0.004328863316128062
M1_DC,0.06,1071,-0.17410830999066293,-0.26938982259570493,-0.07852124183006537,False,-0.047463210854261924,-0.004175219020035865
M1_DC,0.07,1017,-0.1815929203539823,-0.28265216322517206,-0.07385693215339234,False,-0.04849806293874693,-0.0052555145124225325
M1_DC,0.08,976,-0.1699487704918033,-0.2778550204918033,-0.06580737704918038,False,-0.048577356484461334,-0.0053717603163473135
M1_DC,0.1,884,-0.15952488687782804,-0.2706102941176471,-0.04493806561085976,False,-0.048580720598345124,-0.005379691113671481
M2_Elo,0.02,1510,-0.15634437086092717,-0.22250430463576162,-0.08978046357615897,False,-0.042695643647473844,0.000846852759507054
M2_Elo,0.03,1505,-0.1579468438538206,-0.23075398671096348,-0.09309053156146181,False,-0.04263077390300931,0.0009257121460692197
M2_Elo,0.04,1494,-0.15917001338688086,-0.22696887550200803,-0.08983902275769746,False,-0.04278644826590138,0.0007638421848020104
M2_Elo,0.05,1482,-0.15748987854251015,-0.22311960188933871,-0.08620951417004052,False,-0.04275675963345267,0.0008038217076109098
M2_Elo,0.06,1473,-0.15550577053632045,-0.21956585200271556,-0.08384809911744741,False,-0.0427207727898256,0.0008503204694830125
M2_Elo,0.07,1459,-0.15954763536668953,-0.23112628512679914,-0.08632145305003429,False,-0.042752953600436704,0.000811613798567992
M2_Elo,0.08,1431,-0.15777777777777777,-0.22316893780573027,-0.08818483577917541,False,-0.04272970745920147,0.0008258720213700977
M2_Elo,0.1,1385,-0.14980505415162457,-0.2147638989169675,-0.08166444043321304,False,-0.04320402523392312,0.0003121078443058636
M3_LGBM_dmwd,0.02,1439,-0.09822098679638636,-0.18437960389159136,-0.0041181375955524745,False,-0.04653881659342574,-0.003182439816944035
M3_LGBM_dmwd,0.03,1415,-0.10917314487632508,-0.19448091872791518,-0.017942756183745592,False,-0.04649082854301242,-0.003129183862288413
M3_LGBM_dmwd,0.04,1377,-0.11034132171387073,-0.20012400145243284,-0.013002360203340595,False,-0.04633442063911904,-0.0029768947272221487
M3_LGBM_dmwd,0.05,1354,-0.11083456425406203,-0.2007649556868538,-0.01944036189069427,False,-0.04646067909631512,-0.003106193532088476
M3_LGBM_dmwd,0.06,1319,-0.11928733889310084,-0.20725265352539804,-0.02170261561789234,False,-0.04618560775343293,-0.0028097941940031937
M3_LGBM_dmwd,0.07,1271,-0.12062942564909519,-0.2150365853658537,-0.018894374508261223,False,-0.046431640885285265,-0.0030620377407109436
M3_LGBM_dmwd,0.08,1231,-0.11811535337124289,-0.22367871649065799,-0.01152579203899272,False,-0.04611050737175605,-0.0027195163072218525
M3_LGBM_dmwd,0.1,1153,-0.10707718993928882,-0.20753078924544668,0.0019496964440589412,True,-0.045315382545889044,-0.0019000755655252239
M4_LGBM,0.02,1418,-0.1259873060648801,-0.2209723201692525,-0.02470733427362482,False,-0.04692972285618244,-0.003602541646382672
M4_LGBM,0.03,1395,-0.12697491039426523,-0.22056792114695345,-0.03452275985663081,False,-0.04730539893515827,-0.0040092891036499845
M4_LGBM,0.04,1368,-0.12364035087719297,-0.21447222222222223,-0.025589912280701753,False,-0.0470156325664453,-0.003695716566097171
M4_LGBM,0.05,1340,-0.132455223880597,-0.2254363805970149,-0.03184776119402986,False,-0.04696114222738054,-0.003630663178893573
M4_LGBM,0.06,1304,-0.13736963190184048,-0.239058282208589,-0.04387442484662579,False,-0.0468878227515208,-0.003557632464781939
M4_LGBM,0.07,1282,-0.13578783151326052,-0.23255109204368174,-0.03900897035881436,False,-0.046470571073187195,-0.0031206759876705255
M4_LGBM,0.08,1239,-0.14383373688458434,-0.24315173527037934,-0.0448131557707829,False,-0.046143254134256156,-0.0027848144810836487
M4_LGBM,0.1,1153,-0.14228967909800522,-0.24726214223764093,-0.031063746747614914,False,-0.04531628279403809,-0.0018924157962633811
M7_market_residual,0.02,1453,-0.11725395732966278,-0.20787336545079146,-0.027457673778389535,False,-0.04583853462718742,-0.002449855076460723
M7_market_residual,0.03,1422,-0.12076652601969057,-0.20875703234880452,-0.033580168776371336,False,-0.04574022955691958,-0.0023182754358854604
M7_market_residual,0.04,1401,-0.12112062812276946,-0.20525963597430402,-0.03334136331192007,False,-0.04592906777903754,-0.0024994975958439573
M7_market_residual,0.05,1368,-0.11967105263157893,-0.20558516081871342,-0.024276864035087716,False,-0.04593247539186062,-0.0024857281380940292
M7_market_residual,0.06,1338,-0.1105979073243647,-0.2032281390134529,-0.021645553064275062,False,-0.045729176231086806,-0.0022548750964617747
M7_market_residual,0.07,1295,-0.10945173745173743,-0.19951795366795366,-0.010472586872586896,False,-0.04646889313329061,-0.002978414997787572
M7_market_residual,0.08,1257,-0.11587112171837709,-0.2040612569610183,-0.024228719172633285,False,-0.0466903572796563,-0.0031755618060664743
M7_market_residual,0.1,1192,-0.10409395973154363,-0.1963905201342282,-0.009219169463087283,False,-0.04697574434673464,-0.0034088281540387076
