date,year,tour,tournament,surface,round,winner,loser,side,model_prob,b365_odds,ev,kelly_f,stake,won,pnl
2021-02-08,2021,WTA,ausopen,hard,1st Round,Babos T,Bonaventure Y,loser,0.5666,2.45,0.3881,0.0669,15.0,0,-15.0
2021-02-08,2021,WTA,ausopen,hard,1st Round,Diyas Z,Zidansek T,winner,0.5128,2.06,0.0564,0.0133,6.55,1,6.94
2021-02-08,2021,WTA,ausopen,hard,1st Round,Garcia C,Hercog P,loser,0.4352,2.84,0.2359,0.0321,15.0,0,-15.0
2021-02-08,2021,WTA,ausopen,hard,1st Round,Errani S,Wang Q,winner,0.3692,3.1,0.1444,0.0172,11.73,1,24.63
2021-02-08,2021,WTA,ausopen,hard,1st Round,Pera B,Kerber A,winner,0.3507,3.39,0.1889,0.0198,14.35,1,34.28
2021-02-08,2021,WTA,ausopen,hard,1st Round,Rybakina E,Zvonareva V,winner,0.6444,1.61,0.0375,0.0154,5.44,1,3.32
2021-02-08,2021,WTA,ausopen,hard,1st Round,Gracheva V,Blinkova A,winner,0.5635,2.0,0.1271,0.0318,10.71,1,10.71
2021-02-08,2021,WTA,ausopen,hard,1st Round,Andreescu B,Buzarnescu M,winner,0.8093,1.29,0.044,0.0379,5.82,1,1.69
2021-02-08,2021,WTA,ausopen,hard,1st Round,Ferro F,Siniakova K,winner,0.6181,2.22,0.3721,0.0762,15.0,1,18.3
2021-02-08,2021,ATP,ausopen,hard,1st Round,Bublik A,Bedene A,winner,0.5132,2.05,0.052,0.0124,6.3,1,6.61
2021-02-08,2021,ATP,ausopen,hard,1st Round,Kecmanovic M,Majchrzak K,loser,0.3787,3.1,0.1739,0.0207,13.47,0,-13.47
2021-02-08,2021,ATP,ausopen,hard,1st Round,Bolt A,Gombos N,winner,0.5419,1.94,0.0513,0.0136,6.25,1,5.88
2021-02-08,2021,ATP,ausopen,hard,1st Round,Bolt A,Gombos N,loser,0.4581,2.4,0.0994,0.0177,9.08,0,-9.08
2021-02-08,2021,ATP,ausopen,hard,1st Round,Mannarino A,Novak D,winner,0.6199,1.83,0.1344,0.0405,11.14,1,9.25
2021-02-08,2021,ATP,ausopen,hard,1st Round,Dimitrov G,Cilic M,loser,0.41,2.67,0.0948,0.0142,8.81,0,-8.81
2021-02-08,2021,ATP,ausopen,hard,1st Round,Cressy M,Daniel T,winner,0.5876,2.3,0.3514,0.0676,15.0,1,19.5
2021-02-09,2021,WTA,ausopen,hard,1st Round,Danilovic O,Martic P,winner,0.3664,3.2,0.1725,0.0196,13.38,1,29.44
2021-02-09,2021,WTA,ausopen,hard,1st Round,Van Uytvanck A,Burel C,loser,0.4736,2.32,0.0988,0.0187,9.05,0,-9.05
2021-02-09,2021,WTA,ausopen,hard,1st Round,Stosur S,Aiava D,winner,0.4484,2.55,0.1435,0.0231,11.68,1,18.1
2021-02-09,2021,WTA,ausopen,hard,1st Round,Hibino N,Sharma A,winner,0.6145,2.1,0.2905,0.066,15.0,1,16.5
2021-02-09,2021,WTA,ausopen,hard,1st Round,Vekic D,Wang Y,loser,0.4251,3.22,0.3689,0.0415,15.0,0,-15.0
2021-02-09,2021,WTA,ausopen,hard,1st Round,Gauff C,Teichmann J,loser,0.3645,3.09,0.1264,0.0151,10.67,0,-10.67
2021-02-09,2021,WTA,ausopen,hard,1st Round,Kuznetsova S,Strycova B,winner,0.6195,1.68,0.0408,0.015,5.63,1,3.83
2021-02-09,2021,WTA,ausopen,hard,1st Round,Zhu L,Osuigwe W,loser,0.4831,2.65,0.2802,0.0425,15.0,0,-15.0
2021-02-09,2021,WTA,ausopen,hard,1st Round,Juvan K,Konta J,winner,0.4184,2.63,0.1004,0.0154,9.14,1,14.9
2021-02-09,2021,WTA,ausopen,hard,1st Round,Samsonova L,Badosa P,loser,0.5562,2.38,0.3238,0.0587,15.0,0,-15.0
2021-02-09,2021,WTA,ausopen,hard,1st Round,Muchova K,Ostapenko J,loser,0.4562,2.55,0.1633,0.0263,12.84,0,-12.84
2021-02-09,2021,ATP,ausopen,hard,1st Round,Ruud C,Thompson J,loser,0.5777,2.12,0.2248,0.0502,15.0,0,-15.0
2021-02-09,2021,ATP,ausopen,hard,1st Round,Mmoh M,Troicki V,loser,0.4987,2.48,0.2369,0.04,15.0,0,-15.0
2021-02-09,2021,ATP,ausopen,hard,1st Round,Caruso S,Laaksonen H,loser,0.4323,2.7,0.1671,0.0246,13.07,0,-13.07
2021-02-09,2021,ATP,ausopen,hard,1st Round,Sonego L,Querrey S,loser,0.5162,2.15,0.1098,0.0239,9.69,0,-9.69
2021-02-09,2021,WTA,ausopen,hard,1st Round,Krejcikova B,Zheng S,loser,0.5063,2.63,0.3316,0.0509,15.0,0,-15.0
2021-02-09,2021,ATP,ausopen,hard,1st Round,Mcdonald M,Cecchinato M,loser,0.4023,3.4,0.3679,0.0383,15.0,0,-15.0
2021-02-09,2021,ATP,ausopen,hard,1st Round,Alcaraz C,Van De Zandschulp B,loser,0.5126,2.25,0.1533,0.0307,12.25,0,-12.25
2021-02-09,2021,ATP,ausopen,hard,1st Round,Safiullin R,Ivashka I,loser,0.4735,2.47,0.1695,0.0288,13.21,0,-13.21
2021-02-09,2021,ATP,ausopen,hard,1st Round,Popyrin A,Goffin D,winner,0.3852,3.27,0.2597,0.0286,15.0,1,34.05
2021-02-09,2021,ATP,ausopen,hard,1st Round,Cuevas P,Seppi A,loser,0.5749,2.4,0.3797,0.0678,15.0,0,-15.0
2021-02-09,2021,ATP,ausopen,hard,1st Round,Andujar P,Halys Q,winner,0.4092,3.16,0.2932,0.0339,15.0,1,32.4
2021-02-10,2021,WTA,ausopen,hard,2nd Round,Diyas Z,Pera B,winner,0.4943,2.47,0.2208,0.0376,15.0,1,22.05
2021-02-10,2021,WTA,ausopen,hard,2nd Round,Potapova A,Babos T,loser,0.3999,3.03,0.2117,0.0261,15.0,0,-15.0
2021-02-10,2021,ATP,ausopen,hard,2nd Round,Kyrgios N,Humbert U,loser,0.5034,2.19,0.1025,0.0215,9.26,0,-9.26
2021-02-10,2021,ATP,ausopen,hard,2nd Round,Mannarino A,Kecmanovic M,winner,0.4963,2.39,0.1861,0.0335,14.18,1,19.72
2021-02-10,2021,ATP,ausopen,hard,2nd Round,Fritz T,Opelka R,loser,0.5764,2.25,0.297,0.0594,15.0,0,-15.0
2021-02-10,2021,ATP,ausopen,hard,2nd Round,Lajovic D,Bublik A,winner,0.375,3.26,0.2223,0.0246,15.0,1,33.9
2021-02-11,2021,WTA,ausopen,hard,2nd Round,Bencic B,Kuznetsova S,winner,0.5786,2.15,0.244,0.053,15.0,1,17.25
2021-02-11,2021,WTA,ausopen,hard,2nd Round,Rogers S,Danilovic O,loser,0.351,3.4,0.1933,0.0201,14.6,0,-14.6
2021-02-11,2021,WTA,ausopen,hard,2nd Round,Putintseva Y,Van Uytvanck A,loser,0.3599,3.4,0.2237,0.0233,15.0,0,-15.0
2021-02-11,2021,WTA,ausopen,hard,2nd Round,Alexandrova E,Krejcikova B,loser,0.4123,3.38,0.3934,0.0413,15.0,0,-15.0
2021-02-11,2021,ATP,ausopen,hard,2nd Round,Harris L,Popyrin A,loser,0.5406,2.38,0.2865,0.0519,15.0,0,-15.0
2021-02-11,2021,ATP,ausopen,hard,2nd Round,Ymer M,Alcaraz C,winner,0.4589,2.67,0.2254,0.0337,15.0,1,25.05
2021-02-11,2021,ATP,ausopen,hard,2nd Round,Ruud C,Paul T,loser,0.5114,2.25,0.1507,0.0301,12.1,0,-12.1
2021-02-11,2021,ATP,ausopen,hard,2nd Round,Fognini F,Caruso S,loser,0.4293,3.21,0.3781,0.0428,15.0,0,-15.0
2021-02-11,2021,WTA,ausopen,hard,2nd Round,Svitolina E,Gauff C,loser,0.3723,2.81,0.046,0.0064,5.94,0,-5.94
2021-02-11,2021,WTA,ausopen,hard,2nd Round,Vekic D,Podoroska N,winner,0.4855,2.73,0.3254,0.047,15.0,1,25.95
2021-02-11,2021,WTA,ausopen,hard,2nd Round,Kanepi K,Kenin S,loser,0.7375,1.8,0.3274,0.1023,15.0,0,-15.0
2021-02-12,2021,WTA,ausopen,hard,3rd Round,Halep S,Kudermetova V,loser,0.3666,3.04,0.1146,0.014,9.98,0,-9.98
2021-02-12,2021,WTA,ausopen,hard,3rd Round,Vondrousova M,Cirstea S,loser,0.5457,2.3,0.2552,0.0491,15.0,0,-15.0
2021-02-12,2021,ATP,ausopen,hard,3rd Round,Dimitrov G,Carreno Busta P,loser,0.5659,2.28,0.2901,0.0567,15.0,0,-15.0
2021-02-12,2021,ATP,ausopen,hard,3rd Round,Lajovic D,Martinez P,loser,0.5131,2.28,0.1699,0.0332,13.23,0,-13.23
2021-02-13,2021,WTA,ausopen,hard,3rd Round,Rogers S,Kontaveit A,loser,0.6209,1.8,0.1175,0.0367,10.15,0,-10.15
2021-02-13,2021,ATP,ausopen,hard,3rd Round,Mcdonald M,Harris L,winner,0.4709,2.21,0.0406,0.0084,5.62,1,6.8
2021-02-14,2021,WTA,ausopen,hard,4th Round,Halep S,Swiatek I,winner,0.5569,1.87,0.0414,0.0119,5.67,1,4.93
2021-02-14,2021,ATP,ausopen,hard,4th Round,Djokovic N,Raonic M,winner,0.7352,1.52,0.1175,0.0565,10.15,1,5.28
2021-02-14,2021,WTA,ausopen,hard,4th Round,Williams S,Sabalenka A,winner,0.5241,2.21,0.1583,0.0327,12.55,1,15.18
2021-02-15,2021,WTA,ausopen,hard,4th Round,Muchova K,Mertens E,winner,0.3591,3.82,0.3716,0.0329,15.0,1,42.3
2021-02-16,2021,WTA,ausopen,hard,Quarterfinals,Williams S,Halep S,winner,0.5135,2.05,0.0527,0.0126,6.34,1,6.65
2021-02-16,2021,ATP,ausopen,hard,Quarterfinals,Djokovic N,Zverev A,winner,0.6427,1.69,0.0861,0.0312,8.3,1,5.73
2021-02-17,2021,WTA,ausopen,hard,Quarterfinals,Brady J,Pegula J,loser,0.3797,3.1,0.177,0.0211,13.65,0,-13.65
2021-02-17,2021,ATP,ausopen,hard,Quarterfinals,Medvedev D,Rublev A,loser,0.3942,3.32,0.3087,0.0333,15.0,0,-15.0
2021-02-17,2021,ATP,ausopen,hard,Quarterfinals,Tsitsipas S,Nadal R,winner,0.3868,3.2,0.2379,0.027,15.0,1,33.0
2021-02-18,2021,WTA,ausopen,hard,Semifinals,Osaka N,Williams S,loser,0.4062,2.6,0.0562,0.0088,6.54,0,-6.54
2021-02-18,2021,WTA,ausopen,hard,Semifinals,Brady J,Muchova K,loser,0.4691,2.71,0.2713,0.0397,15.0,0,-15.0
2021-05-30,2021,ATP,frenchopen,clay,1st Round,Van De Zandschulp B,Hurkacz H,winner,0.5063,2.66,0.3469,0.0522,15.0,1,24.9
2021-05-30,2021,ATP,frenchopen,clay,1st Round,Djere L,Moutet C,winner,0.5559,1.87,0.0396,0.0114,5.56,1,4.84
2021-05-30,2021,ATP,frenchopen,clay,1st Round,Couacaud E,Gerasimov E,loser,0.4847,2.52,0.2213,0.0364,15.0,0,-15.0
2021-05-30,2021,ATP,frenchopen,clay,1st Round,Kecmanovic M,Evans D,winner,0.4452,2.88,0.2821,0.0375,15.0,1,28.2
2021-05-30,2021,ATP,frenchopen,clay,1st Round,Laaksonen H,Hanfmann Y,loser,0.6588,1.94,0.2781,0.074,15.0,0,-15.0
2021-05-30,2021,WTA,frenchopen,clay,1st Round,Kovinic D,Burel C,winner,0.5275,2.5,0.3188,0.0531,15.0,1,22.5
2021-05-30,2021,WTA,frenchopen,clay,1st Round,Vesnina E,Govortsova O,winner,0.5074,2.08,0.0555,0.0128,6.5,1,7.02
2021-05-30,2021,WTA,frenchopen,clay,1st Round,Bogdan A,Cocciaretto E,loser,0.5004,2.54,0.271,0.044,15.0,0,-15.0
2021-05-30,2021,WTA,frenchopen,clay,1st Round,Kalinina A,Kerber A,winner,0.4623,2.56,0.1835,0.0294,14.03,1,21.88
2021-05-30,2021,WTA,frenchopen,clay,1st Round,Siniakova K,Bouzkova M,loser,0.4,3.3,0.32,0.0348,15.0,0,-15.0
2021-05-31,2021,WTA,frenchopen,clay,1st Round,Peterson R,Rogers S,winner,0.4384,3.1,0.3591,0.0428,15.0,1,31.5
2021-05-31,2021,WTA,frenchopen,clay,1st Round,Vondrousova M,Kanepi K,winner,0.5514,1.93,0.0642,0.0173,7.01,1,6.52
2021-05-31,2021,WTA,frenchopen,clay,1st Round,Tan H,Cornet A,winner,0.4603,2.37,0.0909,0.0166,8.58,1,11.76
2021-05-31,2021,WTA,frenchopen,clay,1st Round,Hercog P,Bertens K,loser,0.6629,1.91,0.2661,0.0731,15.0,0,-15.0
